label_no,genus,species,sex,year,month,day,country,county,city_town_village,specific_location,HW_mm,intertegular_distance_mm,FW_length_mm,tibia_length_mm,family,ecology,interocular_distance_mm
IGproject0001,Nomada,sp.,male,1904,4,19,England,Oxfordshire,Oxford,University Parks,2.688,1.908,9.018,2.328,Apidae,kleptoparasite,1.781
IGproject0002,Nomada,sp.,male,1918,5,2,England,Oxfordshire,Oxford,,2.108,1.338,6.795,1.774,Apidae,kleptoparasite,1.441
IGproject0003,Nomada,sp.,female,1914,4,28,England,Devon,Bovey Tracey,,2.054,1.329,6.457,1.743,Apidae,kleptoparasite,1.367
IGproject0004,Nomada,ruficornis,female,1917,5,3,England,Surrey,Guildford,Merrow,2.777,1.779,8.348,2.236,Apidae,kleptoparasite,1.749
IGproject0005,Nomada,ruficornis,female,1980,6,,England,Oxfordshire,,Bernwood Forest,2.652,1.789,7.628,2.105,Apidae,kleptoparasite,1.661
IGproject0006,Nomada,ruficornis,male,1915,5,5,England,Surrey,Tadworth,Box Hill,2.435,1.636,7.572,1.875,Apidae,kleptoparasite,1.611
IGproject0007,Nomada,sp.,female,1912,4,24,England,Oxfordshire,Oxford,,2.615,1.799,8.63,2.373,Apidae,kleptoparasite,1.598
IGproject0008,Nomada,sp.,female,1908,5,18,England,Greater London,London,Tooting Commons,2.671,1.838,8.827,2.314,Apidae,kleptoparasite,1.649
IGproject0009,Nomada,sp.,female,1922,5,14,England,Devon,Newton Abbot,,2.269,1.287,7.438,2.018,Apidae,kleptoparasite,1.47
IGproject0010,Nomada,sp.,male,1924,6,5,England,Devon,Bovey Tracey,,2.078,1.293,6.741,1.643,Apidae,kleptoparasite,1.337
IGproject0011,Nomada,sp.,female,1911,5,,England,Oxfordshire,Oxford,University Parks,2.569,1.748,8.3,2.357,Apidae,kleptoparasite,1.623
IGproject0012,Nomada,ruficornis,female,1901,7,14,Wales,Gwynedd,Criccieth,,2.717,1.895,8.34,2.321,Apidae,kleptoparasite,1.722
IGproject0013,Nomada,ruficornis,female,1919,4,,England,West Yorkshire,Leeds,Roundhay Park,2.493,1.621,7.15,2.077,Apidae,kleptoparasite,1.65
IGproject0014,Nomada,sp.,female,1915,5,31,England,Devon,Newton Abbot,,2.371,1.533,7.442,2.231,Apidae,kleptoparasite,1.489
IGproject0015,Nomada,ruficornis,female,1925,5,15,England,Devon,Brixham,,2.582,1.694,8.029,2.186,Apidae,kleptoparasite,1.63
IGproject0016,Nomada,ruficornis,female,1919,4,21,England,Devon,Bovey Tracey,Chudleigh Knighton Heath,2.192,1.377,6.509,1.803,Apidae,kleptoparasite,1.438
IGproject0017,Nomada,sp.,female,1921,4,27,England,Devon,Newton Abbot,Bradley Woods,2.313,1.547,7.435,2.119,Apidae,kleptoparasite,1.476
IGproject0018,Nomada,ruficornis,male,1907,5,19,England,Oxfordshire,Tubney,,2.281,1.525,7.185,1.894,Apidae,kleptoparasite,1.444
IGproject0019,Nomada,ruficornis,female,1981,5,20,England,Oxfordshire,,Bernwood Forest,2.307,1.443,6.856,1.809,Apidae,kleptoparasite,1.467
IGproject0020,Nomada,sp.,female,1908,5,17,England,Greater London,London,Tooting Commons,2.729,1.939,8.693,2.375,Apidae,kleptoparasite,1.725
IGproject0021,Andrena,wilkella,male,1959,5,23,England,Devon,Chudleigh,,2.748,1.685,6.699,1.859,Andrenidae,excavator,1.879
IGproject0022,Andrena,wilkella,female,1900,6,5,England,Oxfordshire,Oxford,University Parks,3.466,2.246,8.5,2.523,Andrenidae,excavator,2.145
IGproject0023,Andrena,wilkella,female,1906,5,19,Wales,Bridgend,Porthcawl,,3.419,2.254,8.12,2.776,Andrenidae,excavator,2.174
IGproject0024,Andrena,wilkella,male,1898,,,England,Gloucestershire,Doddington,,3.314,2.235,8.256,2.337,Andrenidae,excavator,2.171
IGproject0025,Andrena,wilkella,male,1955,4,13,England,Devon,Bovey Tracey,Bovey Heathfield,2.725,1.772,6.594,1.793,Andrenidae,excavator,1.89
IGproject0026,Andrena,wilkella,female,1935,6,18,England,Warwickshie,Hatton,,3.409,2.276,7.964,2.718,Andrenidae,excavator,2.142
IGproject0027,Andrena,wilkella,female,1903,3,24,England,Surrey,Woking,,3.421,2.389,7.71,2.374,Andrenidae,excavator,2.17
IGproject0028,Andrena,wilkella,male,1900,6,5,England,Oxfordshire,Oxford,University Parks,3.077,1.985,7.618,2.121,Andrenidae,excavator,1.985
IGproject0029,Andrena,wilkella,female,1905,5,24,England,Oxfordshire,Oxford,University Parks,3.277,2.084,7.946,2.391,Andrenidae,excavator,2.094
IGproject0030,Andrena,wilkella,male,1954,6,18,England,Devon,Bovey Tracey,Chudleigh Knighton Heath,2.898,1.903,7.268,2.056,Andrenidae,excavator,1.965
IGproject0031,Andrena,wilkella,female,1900,7,8,England,Oxfordshire,Tubney,,3.497,2.226,8.568,2.635,Andrenidae,excavator,2.274
IGproject0032,Andrena,wilkella,male,1902,5,25,England,Kent,Faversham,Huntingfield,2.955,1.903,8.009,2.163,Andrenidae,excavator,1.983
IGproject0033,Andrena,wilkella,male,1977,7,2,England,Oxfordshire,Oxford,Sydlings Copse,3.038,1.845,7.453,2.012,Andrenidae,excavator,2.037
IGproject0034,Andrena,wilkella,male,1949,5,7,England,Devon,Bovey Tracey,Chudleigh Knighton Heath,2.833,1.936,7.427,2.03,Andrenidae,excavator,1.919
IGproject0035,Andrena,wilkella,male,1990,5,26,England,Wiltshire,Wroughton,Clouts Wood,3.313,1.965,7.984,2.175,Andrenidae,excavator,2.248
IGproject0036,Andrena,wilkella,male,1900,5,23,England,Devon,Newton Abbot,,2.957,1.81,7.395,2.092,Andrenidae,excavator,2
IGproject0037,Andrena,wilkella,female,1905,7,31,England,Kent,Faversham,Huntingfield,3.494,2.341,7.973,2.495,Andrenidae,excavator,2.211
IGproject0038,Andrena,wilkella,female,1900,6,5,England,Oxfordshire,Oxford,University Parks,3.524,2.291,8.27,2.576,Andrenidae,excavator,2.241
IGproject0039,Andrena,wilkella,female,1922,7,20,England,Devon,Newton Abbot,,3.227,2.194,7.067,2.227,Andrenidae,excavator,2
IGproject0040,Andrena,wilkella,female,1900,5,24,England,Oxfordshire,Oxford,University Parks,3.434,2.225,8.227,2.644,Andrenidae,excavator,2.168
IGproject0041,Andrena,wilkella,female,1910,7,18,England,Devon,Budleigh Salterton,,0.031,1.939,7.038,1.95,Andrenidae,excavator,2.008
IGproject0042,Andrena,wilkella,male,1904,5,29,England,Greater London,Wimbledon,,2.937,1.879,7.288,2.05,Andrenidae,excavator,1.969
IGproject0043,Andrena,wilkella,female,1977,6,12,England,Oxfordshire,Hook Norton,,3.529,2.268,8.264,2.656,Andrenidae,excavator,2.251
IGproject0044,Andrena,wilkella,male,1915,4,20,England,Gloucestershire,Wotton-under-Edge,,2.849,1.745,7.235,1.837,Andrenidae,excavator,1.943
IGproject0045,Andrena,wilkella,female,1903,6,26,England,Surrey,Chobham,,3.261,2.127,7.532,2.403,Andrenidae,excavator,2.086
IGproject0046,Hylaeus,communis,female,1904,7,,England,Dorset,Lyme Regis,,1.642,1.318,5.086,1.049,Colletidae,cavity nester,1.091
IGproject0047,Hylaeus,communis,female,1979,7,12,England,Devon,Newton Abbot,Teign Valley,1.671,1.24,4.948,1.037,Colletidae,cavity nester,1.101
IGproject0048,Hylaeus,communis,female,1948,7,26,England,Oxfordshire,Coleshill,,1.581,1.191,4.648,0.987,Colletidae,cavity nester,1.038
IGproject0049,Hylaeus,communis,male,1905,7,8,England,Dorset,Lyme Regis,,1.504,1.152,4.342,0.939,Colletidae,cavity nester,0.953
IGproject0050,Hylaeus,communis,male,1978,6,16,England,Devon,Diptford,,1.437,1.073,4.011,0.897,Colletidae,cavity nester,0.968
IGproject0051,Hylaeus,communis,male,1980,6,24,England,Devon,Milton Combe,,1.567,1.244,4.406,0.988,Colletidae,cavity nester,1.02
IGproject0052,Hylaeus,communis,female,1902,9,6,England,Kent,Faversham,Huntingfield,1.499,1.138,4.476,0.941,Colletidae,cavity nester,0.996
IGproject0053,Hylaeus,communis,male,1902,8,12,England,Kent,Faversham,Huntingfield,1.592,1.144,4.608,0.986,Colletidae,cavity nester,1.011
IGproject0054,Hylaeus,communis,female,1969,3,9,England,Hertfordshire,Harpenden,Hatching Green,1.657,1.248,4.919,0.993,Colletidae,cavity nester,1.085
IGproject0055,Hylaeus,communis,male,2005,7,19,England,Surrey,Richmond,Ham House,1.49,1.154,4.241,0.92,Colletidae,cavity nester,0.95
IGproject0056,Hylaeus,communis,male,1949,6,7,England,Devon,Axminster,,1.538,1.126,4.444,0.963,Colletidae,cavity nester,0.981
IGproject0057,Hylaeus,communis,female,1897,7,11,England,Berkshire,Reading,Sulhamstead Park,1.737,1.309,5.222,1.008,Colletidae,cavity nester,1.112
IGproject0058,Nomada,goodeniana,female,1990,7,18,England,Devon,Salcombe Regis,,3.032,2.048,9.062,2.414,Apidae,kleptoparasite,1.997
IGproject0059,Nomada,goodeniana,female,1903,5,18,Wales,Gwynedd,Criccieth,,3.222,2.284,9.782,2.835,Apidae,kleptoparasite,2.103
IGproject0060,Nomada,goodeniana,male,1916,4,22,England,Oxfordshire,Tubney,,2.843,1.916,8.883,2.403,Apidae,kleptoparasite,1.905
IGproject0061,Nomada,goodeniana,male,1896,,,England,Gloucestershire,Doddington,,3.029,1.985,9.415,2.566,Apidae,kleptoparasite,2.055
IGproject0062,Nomada,goodeniana,male,1917,5,3,England,Devon,Brixham,,2.314,1.534,7.09,1.983,Apidae,kleptoparasite,1.635
IGproject0063,Nomada,goodeniana,female,1910,6,1,England,Devon,Littleham,,3.257,2.219,10.096,2.832,Apidae,kleptoparasite,2.183
IGproject0064,Nomada,goodeniana,female,1928,4,21,England,Devon,Newton Abbot,,3.185,2.372,9.971,2.638,Apidae,kleptoparasite,2.151
IGproject0065,Nomada,goodeniana,female,1991,4,26,England,Devon,Croyde,,3.347,2.367,10.436,2.807,Apidae,kleptoparasite,2.208
IGproject0066,Nomada,goodeniana,male,1949,4,18,England,Oxfordshire,Chastleton,,2.36,1.486,7.029,1.959,Apidae,kleptoparasite,1.666
IGproject0067,Nomada,goodeniana,female,1937,5,28,England,Greater London,Wimbledon,,3.011,2.124,9.116,2.515,Apidae,kleptoparasite,1.958
IGproject0068,Nomada,goodeniana,female,1954,4,16,England,Devon,Torquay,,3.168,2.243,9.924,2.765,Apidae,kleptoparasite,2.086
IGproject0069,Nomada,goodeniana,male,1954,4,29,England,Devon,Lustleigh,,2.715,1.755,8.14,2.184,Apidae,kleptoparasite,1.857
IGproject0070,Nomada,goodeniana,female,1949,4,29,England,Devon,Exeter,,2.962,1.859,8.801,2.482,Apidae,kleptoparasite,2.006
IGproject0071,Nomada,goodeniana,female,1936,5,27,England,Berkshire,Slough,,2.93,1.906,9.047,2.397,Apidae,kleptoparasite,1.938
IGproject0072,Nomada,goodeniana,male,1903,5,18,Wales,Gwynedd,Criccieth,,2.774,1.864,8.704,2.284,Apidae,kleptoparasite,1.934
IGproject0073,Nomada,goodeniana,female,1914,4,20,England,Devon,Budleigh Salterton,,2.936,1.91,8.907,2.471,Apidae,kleptoparasite,1.935
IGproject0074,Nomada,goodeniana,male,1915,4,30,England,Devon,Brixham,,3.223,2.197,10.305,2.826,Apidae,kleptoparasite,2.215
IGproject0075,Nomada,goodeniana,male,1902,5,18,England,Kent,Faversham,Huntingfield,2.952,1.963,8.989,2.407,Apidae,kleptoparasite,1.938
IGproject0076,Nomada,goodeniana,male,1909,5,9,England,Oxfordshire,Oxford,Shotover,2.933,2.01,8.812,2.442,Apidae,kleptoparasite,1.954
IGproject0077,Nomada,goodeniana,female,1953,8,10,England,Devon,Dawlish,,2.844,1.86,8.422,2.384,Apidae,kleptoparasite,1.879
IGproject0078,Nomada,goodeniana,female,1910,6,8,England,Devon,Budleigh Salterton,,3.196,2.103,9.852,2.829,Apidae,kleptoparasite,2.114
IGproject0079,Nomada,goodeniana,male,1900,4,21,England,Surrey,Woking,,3.108,2.203,9.466,2.564,Apidae,kleptoparasite,2.095
IGproject0080,Nomada,goodeniana,female,1941,6,2,England,Hampshire,Burley,,3.167,2.167,9.681,2.769,Apidae,kleptoparasite,2.034
IGproject0081,Nomada,goodeniana,female,1900,6,3,England,Oxfordshire,Oxford,Shotover,2.715,1.731,8.141,2.39,Apidae,kleptoparasite,1.853
IGproject0082,Nomada,goodeniana,female,1983,1,28,England,Berkshire,Slough,Langley,2.705,1.74,8.177,2.325,Apidae,kleptoparasite,1.85
IGproject0083,Nomada,goodeniana,female,1991,5,22,England,Hampshire,Bramshaw,,2.716,1.763,8.231,2.365,Apidae,kleptoparasite,1.763
IGproject0084,Nomada,goodeniana,female,1917,5,3,England,Surrey,Guildford,Merrow,2.925,1.973,8.945,2.55,Apidae,kleptoparasite,1.97
IGproject0085,Nomada,goodeniana,female,1954,4,16,England,Devon,Torquay,,3.161,2.145,9.751,2.706,Apidae,kleptoparasite,2.187
IGproject0086,Nomada,goodeniana,female,1955,5,20,England,Devon,Dawlish,,3.21,2.232,9.795,2.634,Apidae,kleptoparasite,2.145
IGproject0087,Nomada,goodeniana,female,1977,6,12,England,Oxfordshire,Hook Norton,,3.011,2.014,9.361,2.579,Apidae,kleptoparasite,2.025
IGproject0088,Nomada,sp.,female,1916,5,21,England,Devon,Newton Abbot,,2.461,1.63,8.159,2.287,Apidae,kleptoparasite,1.54
IGproject0089,Nomada,sp.,female,1916,5,22,England,Devon,Bovey Tracey,,2.397,1.509,8.095,2.163,Apidae,kleptoparasite,1.627
IGproject0090,Lasioglossum,fulvicorne,female,1998,5,21,England,Devon,Salcombe,Coast Path,1.836,1.324,5.315,1.331,Halictidae,excavator,1.15
IGproject0091,Lasioglossum,fulvicorne,female,1991,6,9,England,Cambridgeshire,Barnack,Barnack Hills and Holes,1.815,1.355,5.386,1.43,Halictidae,excavator,1.143
IGproject0092,Lasioglossum,fulvicorne,male,1998,7,28,England,Gloucestershire,Wotton-under-Edge,Newark Park,1.79,1.396,5.295,1.221,Halictidae,excavator,1.056
IGproject0093,Lasioglossum,fulvicorne,female,1956,6,26,England,Dorset,Wimborne,,1.827,1.347,5.357,1.432,Halictidae,excavator,1.126
IGproject0094,Lasioglossum,fulvicorne,male,1902,8,4,England,Kent,Faversham,Huntingfield,1.731,1.291,5.377,1.195,Halictidae,excavator,1.066
IGproject0095,Lasioglossum,fulvicorne,male,1968,9,2,England,Bedfordshire,Hitchin,,1.85,1.315,5.44,1.265,Halictidae,excavator,1.141
IGproject0096,Lasioglossum,fulvicorne,female,1956,9,26,England,Dorset,Wimborne,,1.77,1.305,5.037,1.28,Halictidae,excavator,1.096
IGproject0097,Lasioglossum,fulvicorne,male,1998,7,28,England,Gloucestershire,Wotton-under-Edge,Newark Park,1.792,1.284,5.254,1.168,Halictidae,excavator,1.051
IGproject0098,Lasioglossum,fulvicorne,male,1914,8,,England,Gloucestershire,Wotton-under-Edge,,1.86,1.443,5.744,1.276,Halictidae,excavator,1.149
IGproject0099,Lasioglossum,fulvicorne,male,1899,8,20,England,Worcestershire,Malvern,,1.102,1.314,5.138,1.296,Halictidae,excavator,1.81
IGproject0100,Lasioglossum,fulvicorne,female,1977,9,13,England,Oxfordshire,Hook Norton,,1.759,1.269,5.155,1.296,Halictidae,excavator,1.088
IGproject0101,Lasioglossum,fulvicorne,male,1915,7,15,England,Devon,Brixham,,1.787,1.305,5.33,1.241,Halictidae,excavator,1.096
IGproject0102,Lasioglossum,fulvicorne,male,1968,9,7,England,Bedfordshire,Whipsnade,Bison Hill,1.727,1.222,5.031,1.178,Halictidae,excavator,1.037
IGproject0103,Lasioglossum,fulvicorne,male,1902,6,8,England,Kent,Faversham,Huntingfield,1.784,1.311,5.297,1.23,Halictidae,excavator,1.094
IGproject0104,Lasioglossum,fulvicorne,female,1917,5,3,England,Devon,Brixham,,1.925,1.469,5.977,1.472,Halictidae,excavator,1.189
IGproject0105,Lasioglossum,fulvicorne,male,1919,8,19,England,Worcestershire,Malvern,,1.681,1.228,5.194,1.193,Halictidae,excavator,1.057
IGproject0106,Lasioglossum,fulvicorne,male,1919,8,19,England,Worcestershire,Malvern,,1.815,1.296,5.372,1.133,Halictidae,excavator,1.107
IGproject0107,Lasioglossum,fulvicorne,female,2004,9,1,England,Surrey,Seale,,1.818,1.263,5.396,1.359,Halictidae,excavator,1.097
IGproject0108,Lasioglossum,fulvicorne,female,1974,5,7,England,Oxfordshire,Oxford,Wytham,1.854,1.34,5.52,1.384,Halictidae,excavator,1.134
IGproject0109,Lasioglossum,fulvicorne,female,1974,5,7,England,Oxfordshire,Oxford,Wytham,1.792,1.298,5.29,1.423,Halictidae,excavator,1.079
IGproject0110,Lasioglossum,fulvicorne,female,1949,4,17,England,Oxfordshire,Cumnor,,1.757,1.252,5.331,1.372,Halictidae,excavator,1.099
IGproject0111,Lasioglossum,fulvicorne,male,1988,8,6,England,Wiltshire,Wroughton,Clouts Wood,1.767,1.23,5.442,1.095,Halictidae,excavator,1.057
IGproject0112,Lasioglossum,fulvicorne,male,1903,7,22,England,Dorset,Lyme Regis,,1.665,1.179,4.918,1.264,Halictidae,excavator,0.996
IGproject0113,Lasioglossum,fulvicorne,female,1925,5,,England,Sussex,Brighton,Devil's Dyke,1.733,1.269,5.315,1.416,Halictidae,excavator,1.062
IGproject0114,Lasioglossum,fulvicorne,male,1905,7,10,England,Kent,Faversham,,1.846,1.357,5.683,1.277,Halictidae,excavator,1.114
IGproject0115,Lasioglossum,fulvicorne,male,1968,9,2,England,Bedfordshire,Hitchin,Pegsdon,1.77,1.301,5.621,1.263,Halictidae,excavator,1.139
IGproject0116,Lasioglossum,fulvicorne,female,1956,9,26,England,Dorset,Wimborne,,1.801,1.347,5.375,1.401,Halictidae,excavator,1.117
IGproject0117,Lasioglossum,fulvicorne,male,1904,8,,England,Kent,Faversham,Huntingfield,1.774,1.282,5.147,1.223,Halictidae,excavator,1.067
IGproject0118,Lasioglossum,fulvicorne,male,1905,9,3,England,Kent,Charing,,1.783,1.276,5.555,1.242,Halictidae,excavator,1.073
IGproject0119,Lasioglossum,fulvicorne,female,1914,8,18,England,Surrey,Gomshall,,1.814,1.305,5.416,1.505,Halictidae,excavator,1.108
IGproject0120,Lasioglossum,fulvicorne,female,1905,9,14,England,Kent,Faversham,Huntingfield,1.967,1.366,5.646,1.514,Halictidae,excavator,1.268
IGproject0121,Lasioglossum,fulvicorne,female,1905,9,10,England,Kent,Faversham,Huntingfield,1.909,1.286,5.475,1.356,Halictidae,excavator,1.267
IGproject0122,Lasioglossum,fulvicorne,female,1948,8,15,England,Oxfordshire,Oxford,Hinksey,1.857,1.384,5.493,1.437,Halictidae,excavator,1.175
IGproject0123,Lasioglossum,fulvicorne,male,1905,9,14,England,Kent,Faversham,Huntingfield,1.912,1.42,6.007,1.295,Halictidae,excavator,1.186
IGproject0124,Lasioglossum,fulvicorne,male,1915,7,15,England,Devon,Brixham,,1.811,1.309,5.357,1.258,Halictidae,excavator,1.111
IGproject0125,Nomada,ruficornis,male,1904,5,18,England,Greater London,London,Hampstead,2.075,1.294,6.697,1.795,Apidae,kleptoparasite,1.367
IGproject0126,Nomada,ruficornis,female,1915,5,7,England,Surrey,Cobham,,2.761,1.909,9.264,2.617,Apidae,kleptoparasite,1.722
IGproject0127,Nomada,ruficornis,female,1915,4,20,England,Devon,Dartmoor,East Dartmoor,2.838,1.949,8.544,2.479,Apidae,kleptoparasite,1.819
IGproject0128,Nomada,ruficornis,male,1992,4,25,England,Devon,,,2.615,1.899,8.209,1.936,Apidae,kleptoparasite,1.745
IGproject0129,Nomada,ruficornis,female,1927,5,1,England,Cheshire,Wilmslow,Bollin Valley,2.353,1.59,7.263,2.013,Apidae,kleptoparasite,1.527
IGproject0130,Nomada,ruficornis,female,1917,5,13,England,Surrey,Cobham,,2.712,1.773,8.264,2.208,Apidae,kleptoparasite,1.739
IGproject0131,Nomada,ruficornis,male,1953,4,24,England,Devon,Newton Abbot,Teigngrace,2.685,1.869,8.35,2.278,Apidae,kleptoparasite,1.801
IGproject0132,Nomada,ruficornis,male,1904,5,18,England,Greater London,London,Hampstead,2.297,1.45,7.115,1.823,Apidae,kleptoparasite,1.496
IGproject0133,Nomada,ruficornis,female,1953,4,24,England,Devon,Newton Abbot,Teigngrace,2.767,1.835,8.638,2.263,Apidae,kleptoparasite,1.742
IGproject0134,Nomada,ruficornis,male,1904,5,18,England,Greater London,London,Hampstead,2.56,1.817,8.269,2.079,Apidae,kleptoparasite,1.681
IGproject0135,Nomada,ruficornis,male,1901,5,19,England,Gloucestershire,Horsley,,2.816,1.898,9.399,2.743,Apidae,kleptoparasite,1.727
IGproject0136,Nomada,ruficornis,female,1902,5,24,England,Hampshire,,New Forest,2.771,1.9,8.399,2.295,Apidae,kleptoparasite,1.731
IGproject0137,Nomada,ruficornis,male,1929,4,27,England,Dorset,Wimborne,Badbury Rings,2.186,1.533,6.937,1.807,Apidae,kleptoparasite,1.484
IGproject0138,Nomada,ruficornis,male,1936,5,27,England,Berkshire,Windsor,,1.942,1.182,6.203,1.624,Apidae,kleptoparasite,1.252
IGproject0139,Nomada,ruficornis,male,1933,5,,England,Oxfordshire,Tubney,,2.108,1.368,6.666,1.742,Apidae,kleptoparasite,1.33
IGproject0140,Nomada,ruficornis,male,1904,5,15,England,Greater London,Northwood,,1.811,1.065,5.844,1.579,Apidae,kleptoparasite,1.224
IGproject0141,Nomada,ruficornis,female,1901,7,14,Wales,Gwynedd,Criccieth,,2.832,1.883,8.31,2.469,Apidae,kleptoparasite,1.807
IGproject0142,Nomada,ruficornis,male,1917,5,31,England,Devon,Brixham,,2.361,1.502,7.182,1.926,Apidae,kleptoparasite,1.542
IGproject0143,Nomada,ruficornis,male,1900,5,1,England,Dorset,Swanage,,2.387,1.598,7.565,2.022,Apidae,kleptoparasite,1.543
IGproject0144,Nomada,ruficornis,male,1991,,,England,Northamptonshire,Oundle,Ashton Pond,2.739,1.855,8.332,2.213,Apidae,kleptoparasite,1.78
IGproject0145,Nomada,ruficornis,female,1911,5,19,England,Oxfordshire,Oxford,,2.593,1.85,8.871,2.312,Apidae,kleptoparasite,1.679
IGproject0146,Nomada,ruficornis,female,2003,6,13,England,Oxfordshire,Stratton Audley,,2.73,1.82,8.651,2.27,Apidae,kleptoparasite,1.709
IGproject0147,Nomada,ruficornis,male,1990,5,16,England,Cornwall,Camborne,,2.586,1.778,8.24,2.172,Apidae,kleptoparasite,1.732
IGproject0148,Nomada,ruficornis,female,1982,5,14,England,Devon,Tavistock,,2.437,1.572,7.559,2.01,Apidae,kleptoparasite,1.563
IGproject0149,Nomada,ruficornis,male,1976,4,21,England,Devon,Lifton,,2.497,1.746,8.1,2.045,Apidae,kleptoparasite,1.595
IGproject0150,Nomada,ruficornis,female,1989,5,21,England,Wiltshire,Wroughton,Clouts Wood,2.672,1.802,7.999,2.345,Apidae,kleptoparasite,1.746
IGproject0151,Nomada,ruficornis,male,1989,5,7,England,Wiltshire,Swindon,Coate Water Country Park,2.576,1.675,8.02,2.041,Apidae,kleptoparasite,1.682
IGproject0152,Nomada,ruficornis,male,1941,6,4,England,Berkshire,Padworth,,2.648,1.709,8.311,2.233,Apidae,kleptoparasite,1.735
IGproject0153,Nomada,ruficornis,female,1911,5,13,England,West Yorkshire,Keighley,,2.774,1.902,8.397,2.274,Apidae,kleptoparasite,1.81
IGproject0154,Nomada,ruficornis,male,1917,5,5,England,Surrey,Tadworth,Box Hill,2.653,1.911,8.324,2.238,Apidae,kleptoparasite,1.773
