label_no,genus,species,sex,year,month,day,country,county,city_town_village,specific_location,HW_mm,intertegular_distance_mm,FW_length_mm,tibia_length_mm,family,ecology,interocular_distance_mm
IGproject0155,Hylaeus,hyalinatus,male,1904,7,,England,Dorset,Lyme Regis,,1.674,1.226,4.253,1.008,Colletidae,cavity nester,1.103
IGproject0156,Hylaeus,hyalinatus,male,1904,7,,England,Dorset,Lyme Regis,,1.608,1.116,4.138,0.941,Colletidae,cavity nester,1.078
IGproject0157,Hylaeus,hyalinatus,male,1972,7,11,England,Cornwall,East Cornwall,,1.624,1.253,4.194,1.036,Colletidae,cavity nester,1.051
IGproject0158,Hylaeus,hyalinatus,female,1952,8,14,England,Oxfordshire,Tubney,,1.675,1.279,4.507,1.071,Colletidae,cavity nester,1.127
IGproject0159,Hylaeus,hyalinatus,female,1949,6,30,England,Devon,Plymouth,Plymouth Hoe,1.718,1.334,4.751,1.111,Colletidae,cavity nester,1.128
IGproject0160,Hylaeus,hyalinatus,female,1939,7,1,England,Dorset,Swanage,South Haven Point,1.55,1.198,4.142,1.018,Colletidae,cavity nester,1.023
IGproject0161,Hylaeus,hyalinatus,female,1934,6,16,England,Dorset,Swanage,South Haven Point,1.621,1.324,4.492,1.074,Colletidae,cavity nester,1.077
IGproject0162,Hylaeus,hyalinatus,female,1974,7,1,England,Devon,Saunton,,1.689,1.295,4.37,1.031,Colletidae,cavity nester,1.116
IGproject0163,Hylaeus,hyalinatus,female,1928,7,17,England,Dorset,Portland,,1.582,1.199,4.345,1.024,Colletidae,cavity nester,1.073
IGproject0164,Hylaeus,hyalinatus,female,1908,8,14,England,East Sussex,Hellingly,,1.53,1.172,4.18,1.027,Colletidae,cavity nester,1.046
IGproject0165,Hylaeus,hyalinatus,female,2002,7,28,England,Oxfordshire,Oxford,Shotover,1.758,1.351,4.848,1.085,Colletidae,cavity nester,1.151
IGproject0166,Hylaeus,hyalinatus,male,1992,6,19,England,Oxfordshire,,Hitchcopse Pit,1.49,1.137,3.945,0.945,Colletidae,cavity nester,0.999
IGproject0167,Hylaeus,hyalinatus,female,1904,7,9,England,Kent,Walmer,,1.596,1.204,4.398,1.035,Colletidae,cavity nester,1.026
IGproject0168,Hylaeus,hyalinatus,female,1898,7,,Wales,Gwynedd,Criccieth,,1.648,1.27,4.516,1.004,Colletidae,cavity nester,1.087
IGproject0169,Hylaeus,hyalinatus,female,1904,7,8,England,Dorset,Lyme Regis,,1.743,1.403,4.714,1.135,Colletidae,cavity nester,1.162
IGproject0170,Hylaeus,hyalinatus,female,1984,7,13,England,Kent,,Lydd Ranges,1.627,1.252,4.49,1.076,Colletidae,cavity nester,1.078
IGproject0171,Anthidium,manicatum,male,1901,7,,England,Cornwall,Newquay,,4.546,4.087,11.732,3.824,Megachilidae,cavity nester,2.574
IGproject0172,Anthidium,manicatum,female,1898,7,,Wales,Gwynedd,Criccieth,,4.115,3.401,9.179,2.756,Megachilidae,cavity nester,2.497
IGproject0173,Anthidium,manicatum,male,1948,8,5,England,Oxfordshire,Farmoor,,4.483,3.898,11.304,3.562,Megachilidae,cavity nester,2.613
IGproject0174,Anthidium,manicatum,female,1908,6,27,England,Merseyside,Wallasey,,4.038,3.499,9.087,2.778,Megachilidae,cavity nester,2.454
IGproject0175,Anthidium,manicatum,male,1914,7,13,England,Surrey,Woking,,4.659,4.139,12.203,3.699,Megachilidae,cavity nester,2.556
IGproject0176,Anthidium,manicatum,female,1914,7,13,England,Surrey,Woking,,4.093,3.327,8.853,2.505,Megachilidae,cavity nester,2.501
IGproject0177,Anthidium,manicatum,male,1953,7,27,England,Devon,Torquay,,4.145,3.473,9.686,2.942,Megachilidae,cavity nester,2.33
IGproject0178,Anthidium,manicatum,female,1915,7,15,England,Devon,Brixham,,4.012,3.55,9.019,2.673,Megachilidae,cavity nester,2.495
IGproject0179,Anthidium,manicatum,male,1961,7,17,England,Cheshire,Hoylake,,4.422,3.889,11.114,3.413,Megachilidae,cavity nester,2.477
IGproject0180,Anthidium,manicatum,female,1926,7,,England,Devon,Newton Abbot,,4.138,3.526,9.218,2.795,Megachilidae,cavity nester,2.52
IGproject0181,Anthidium,manicatum,male,1902,7,,England,Leicestershire,Market Bosworth,,4.527,3.952,10.985,3.58,Megachilidae,cavity nester,2.519
IGproject0182,Anthidium,manicatum,female,1906,7,16,England,Hampshire,,New Forest,4.1,3.475,9.287,2.838,Megachilidae,cavity nester,2.489
IGproject0183,Anthidium,manicatum,male,1897,7,18,England,Oxfordshire,Oxford,Shotover,4.311,3.517,10.236,3.559,Megachilidae,cavity nester,2.46
IGproject0184,Anthidium,manicatum,female,1914,6,17,England,Surrey,Woking,,4.368,3.712,10.076,3.047,Megachilidae,cavity nester,2.692
IGproject0185,Anthidium,manicatum,male,1897,7,,Wales,Gwynedd,Criccieth,,4.207,3.779,10.59,3.314,Megachilidae,cavity nester,2.393
IGproject0186,Anthidium,manicatum,female,1989,6,15,England,Cornwall,Saint Austell,Old Inn Cottage,4.029,3.581,8.944,2.712,Megachilidae,cavity nester,2.335
IGproject0187,Anthidium,manicatum,male,1900,7,16,Wales,Gwynedd,Criccieth,,4.199,3.677,10.022,3.029,Megachilidae,cavity nester,2.349
IGproject0188,Anthidium,manicatum,female,1954,7,19,England,Devon,Torquay,Manor Garden,3.931,3.258,8.792,2.688,Megachilidae,cavity nester,2.352
IGproject0189,Anthidium,manicatum,male,1898,7,,Wales,Gwynedd,Criccieth,,4.505,3.812,11.282,3.613,Megachilidae,cavity nester,2.612
IGproject0190,Anthidium,manicatum,female,1936,8,25,England,Oxfordshire,Oxford,"74 Islip Road, Sunnymead",4.165,3.683,9.299,2.826,Megachilidae,cavity nester,2.533
IGproject0191,Anthidium,manicatum,male,1897,7,18,England,Oxfordshire,Oxford,Shotover,4.47,3.968,11.554,3.698,Megachilidae,cavity nester,2.59
IGproject0192,Anthidium,manicatum,female,1998,7,,Wales,Gwynedd,Criccieth,,4.101,3.605,8.931,2.825,Megachilidae,cavity nester,2.477
IGproject0193,Anthidium,manicatum,male,1908,7,15,England,Oxfordshire,Oxford,Lye Valley,4.248,3.75,10.682,3.254,Megachilidae,cavity nester,2.4
IGproject0194,Anthidium,manicatum,female,1948,8,22,England,Oxfordshire,Oxford,Hinksey,4.018,3.586,8.963,2.791,Megachilidae,cavity nester,2.482
IGproject0195,Anthidium,manicatum,male,1936,7,26,England,Oxfordshire,Oxford,Sunnymead,4.2,3.606,10.468,3.131,Megachilidae,cavity nester,2.37
IGproject0196,Anthidium,manicatum,female,1914,6,20,England,Surrey,Woking,,4.074,3.293,8.741,2.673,Megachilidae,cavity nester,2.444
IGproject0197,Anthidium,manicatum,male,1897,7,18,England,Oxfordshire,Oxford,Shotover,4.487,3.858,11.692,3.59,Megachilidae,cavity nester,2.519
IGproject0198,Anthidium,manicatum,female,1914,6,20,England,Surrey,Woking,,3.818,3.185,8.37,2.61,Megachilidae,cavity nester,2.291
IGproject0199,Anthidium,manicatum,male,1897,7,18,England,Oxfordshire,Oxford,Shotover,4.201,3.695,10.591,3.412,Megachilidae,cavity nester,2.413
IGproject0200,Anthidium,manicatum,female,1906,7,25,England,Hampshire,,New Forest,4.187,3.488,9.191,2.809,Megachilidae,cavity nester,2.486
IGproject0201,Sphecodes,geoffrellus,female,1992,6,19,England,Oxfordshire,,Hitchcopse Pit,1.579,1.059,3.859,1.007,Halictidae,kleptoparasite,1.086
IGproject0202,Sphecodes,geoffrellus,male,1992,7,18,England,Somerset,Weston-super-Mare,Sand Point,1.674,1.144,4.584,1.081,Halictidae,kleptoparasite,1.107
IGproject0203,Sphecodes,geoffrellus,female,1948,7,2,England,Devon,Lydford,,1.677,1.114,4.447,1.169,Halictidae,kleptoparasite,1.083
IGproject0204,Sphecodes,geoffrellus,female,1952,8,2,England,Northamptonshire,Aynho,,1.392,0.851,3.927,0.944,Halictidae,kleptoparasite,0.917
IGproject0205,Sphecodes,geoffrellus,female,1901,7,,England,Cornwall,Newquay,,1.425,0.908,3.886,0.9,Halictidae,kleptoparasite,0.932
IGproject0206,Sphecodes,geoffrellus,male,1919,8,19,England,Worcestershire,Malvern,,1.465,1.072,4.186,0.937,Halictidae,kleptoparasite,0.971
IGproject0207,Sphecodes,geoffrellus,male,1900,8,,Wales,Gwynedd,Criccieth,,1.528,1.021,4.246,0.952,Halictidae,kleptoparasite,1.002
IGproject0208,Sphecodes,geoffrellus,female,1978,6,14,England,Oxfordshire,Abingdon,Dry Sandford Pit,1.625,1.022,4.293,1.03,Halictidae,kleptoparasite,1.005
IGproject0209,Sphecodes,geoffrellus,male,1904,8,24,England,Surrey,Reigate,,1.459,0.961,3.787,0.942,Halictidae,kleptoparasite,0.96
IGproject0210,Sphecodes,geoffrellus,female,1992,6,19,England,Oxfordshire,,Hitchcopse Pit,1.782,1.17,4.724,1.148,Halictidae,kleptoparasite,1.182
IGproject0211,Colletes,succintus,female,1940,8,4,England,Devon,Meavy,,3.424,2.71,8.684,2.339,Colletidae,excavator,
IGproject0212,Colletes,succintus,male,1937,8,2,England,Dorset,Swanage,,2.965,2.34,7.114,1.932,Colletidae,excavator,
IGproject0213,Colletes,succintus,male,1953,8,10,England,Devon,Dawlish Warren,,3.128,2.433,7.125,1.929,Colletidae,excavator,
IGproject0214,Colletes,succintus,male,1906,8,6,England,Surrey,Woking,,2.795,2.168,6.334,1.658,Colletidae,excavator,
IGproject0215,Colletes,succintus,male,1953,8,12,England,Devon,Bovey Tracey,Bovey Heathfield,3.238,2.605,7.729,2.017,Colletidae,excavator,
IGproject0216,Colletes,succintus,female,1927,8,25,England,Dorset,Warmwell,Warmwell Heath,3.178,2.599,7.95,2.05,Colletidae,excavator,
IGproject0217,Colletes,succintus,male,1926,8,25,England,Dorset,Warmwell,Warmwell Heath,2.851,2.184,6.73,1.639,Colletidae,excavator,
IGproject0218,Colletes,succintus,male,1969,9,4,England,Devon,Brixham,,3.051,2.401,7.343,1.936,Colletidae,excavator,
IGproject0219,Colletes,succintus,female,1919,8,,England,Devon,South Brent,,3.387,2.804,8.543,2.282,Colletidae,excavator,
IGproject0220,Colletes,succintus,male,1913,8,5,England,Devon,Bovey Tracey,,3.255,2.461,7.746,2.115,Colletidae,excavator,
IGproject0221,Colletes,succintus,female,1913,8,13,England,Devon,Bovey Tracey,,3.323,2.732,8.452,2.15,Colletidae,excavator,
IGproject0222,Colletes,succintus,male,1899,7,,Wales,Conwy,Abergele,,3.23,2.497,7.661,1.988,Colletidae,excavator,
IGproject0223,Colletes,succintus,male,1953,8,10,England,Devon,Dawlish Warren,,3.071,2.311,7.295,1.9,Colletidae,excavator,
IGproject0224,Colletes,succintus,female,1927,8,15,England,Dorset,Warmwell,,3.308,2.608,8.184,2.137,Colletidae,excavator,
IGproject0225,Colletes,succintus,male,1968,8,3,England,Cornwall,Millook,,3.113,2.501,6.938,1.89,Colletidae,excavator,
IGproject0226,Colletes,succintus,female,1900,,,England,Gloucestershire,Horsley,,3.256,2.543,8.071,2.109,Colletidae,excavator,
IGproject0227,Colletes,succintus,female,1973,9,15,Wales,Pembrokeshire,St David's,St David's Head,3.708,3.091,9.292,2.429,Colletidae,excavator,
IGproject0228,Colletes,succintus,male,1927,8,15,England,Dorset,Warmwell,Warmwell Heath,2.734,2.054,6.628,1.687,Colletidae,excavator,
IGproject0229,Colletes,succintus,male,1934,8,17,England,Dorset,Swanage,South Haven Point,2.965,2.096,6.8,1.791,Colletidae,excavator,
IGproject0230,Colletes,succintus,male,1934,8,17,England,Dorset,Swanage,South Haven Point,3.024,2.284,7.074,1.933,Colletidae,excavator,
IGproject0231,Colletes,succintus,male,1933,7,24,England,Dorset,Swanage,"South Haven, S. Boundary",3.086,2.342,7.233,1.901,Colletidae,excavator,
IGproject0232,Colletes,succintus,female,1875,8,,Wales,Gwynedd,Barmouth,,3.501,2.924,8.631,2.166,Colletidae,excavator,
IGproject0233,Colletes,succintus,male,1905,7,31,Scotland,Narinshire,Nairn,,3.064,2.142,7.553,1.848,Colletidae,excavator,
IGproject0234,Colletes,succintus,female,1901,,,England,Hampshire,Lyndhurst,,3.448,3.006,8.373,2.269,Colletidae,excavator,
IGproject0235,Colletes,succintus,female,1953,8,18,England,Devon,Bovey Tracey,Bovey Heathfield,3.462,2.804,8.427,2.283,Colletidae,excavator,
IGproject0236,Colletes,succintus,male,1905,8,4,England,Hampshire,,New Forest,2.642,1.887,6.178,1.483,Colletidae,excavator,
IGproject0237,Colletes,succintus,female,1915,9,3,England,Devon,Bovey Tracey,,3.458,2.773,8.436,2.207,Colletidae,excavator,
IGproject0238,Colletes,succintus,female,1892,9,,Scotland,Moray,Forres,,3.279,2.638,8.31,2.289,Colletidae,excavator,
IGproject0239,Colletes,succintus,male,1905,8,14,England,Hampshire,,New Forest,2.952,2.232,7.011,1.798,Colletidae,excavator,
IGproject0240,Colletes,succintus,male,1909,8,13,England,Hampshire,,New Forest,2.74,2.11,6.235,1.608,Colletidae,excavator,
IGproject0241,Sphecodes,geoffrellus,male,2011,7,30,England,Oxfordshire,Oxford,Shotover,1.544,1.041,4.223,0.965,Halictidae,kleptoparasite,
IGproject0242,Sphecodes,geoffrellus,female,1955,8,1,England,Oxfordshire,Abingdon,Cothill,1.545,1.123,4.219,1.053,Halictidae,kleptoparasite,
IGproject0243,Sphecodes,geoffrellus,male,1989,7,3,England,Wiltshire,Wroughton,Clouts Wood,1.694,1.146,4.543,1.126,Halictidae,kleptoparasite,
IGproject0244,Sphecodes,geoffrellus,female,1960,7,20,England,Devon,Dawlish,,1.677,1.059,4.487,1.126,Halictidae,kleptoparasite,
IGproject0245,Sphecodes,geoffrellus,female,1990,8,29,England,Wiltshire,Swindon,Coate Water Country Park,1.379,0.931,3.693,0.906,Halictidae,kleptoparasite,
IGproject0246,Sphecodes,geoffrellus,female,1901,7,,England,Cornwall,Newquay,,1.438,0.919,3.889,1.009,Halictidae,kleptoparasite,
IGproject0247,Sphecodes,geoffrellus,female,1905,7,23,England,Hampshire,,New Forest,1.533,1.021,4.136,1.022,Halictidae,kleptoparasite,
IGproject0248,Sphecodes,geoffrellus,male,1983,8,6,England,Warwickshie,Coventry,Coombe,1.461,0.954,3.858,0.938,Halictidae,kleptoparasite,
IGproject0249,Sphecodes,geoffrellus,male,1953,8,12,England,Devon,Bovey Tracey,Bovey Heathfield,1.514,1.083,4.215,0.958,Halictidae,kleptoparasite,
IGproject0250,Sphecodes,geoffrellus,female,1902,9,6,England,Kent,Faversham,Huntingfield,1.667,1.014,4.534,1.114,Halictidae,kleptoparasite,
IGproject0251,Andrena,chrysosceles,female,1915,6,15,England,Devon,Brixham,,2.978,1.829,8.135,2.275,Andrenidae,excavator,
IGproject0252,Andrena,chrysosceles,male,1912,5,,England,Hampshire,,New Forest,2.513,1.324,6.822,1.678,Andrenidae,excavator,
IGproject0253,Andrena,chrysosceles,male,1898,6,2,England,Buckinghamshire,Great Missenden,,2.61,1.531,7.013,1.859,Andrenidae,excavator,
IGproject0254,Andrena,chrysosceles,female,1902,8,,England,Berkshire,Crowthorne,Wellington College,2.38,1.569,6.624,2.332,Andrenidae,excavator,
IGproject0255,Andrena,chrysosceles,female,1949,5,14,England,Devon,Woodbury,,2.94,1.864,8.134,2.284,Andrenidae,excavator,
IGproject0256,Andrena,chrysosceles,male,1949,4,18,England,Oxfordshire,Chastleton,,2.484,1.515,6.265,1.686,Andrenidae,excavator,
IGproject0257,Andrena,chrysosceles,male,1916,4,29,England,Devon,Newton Abbot,,2.403,1.411,6.552,1.764,Andrenidae,excavator,
IGproject0258,Andrena,chrysosceles,female,1913,6,10,England,Dorset,Swanage,,2.817,1.778,7.545,2.191,Andrenidae,excavator,
IGproject0259,Andrena,chrysosceles,female,1913,5,17,England,Devon,Bovey Tracey,,2.762,1.761,7.625,1.966,Andrenidae,excavator,
IGproject0260,Andrena,chrysosceles,female,1915,5,20,England,Gloucestershire,Wotton-under-Edge,,3.004,1.897,8.482,2.249,Andrenidae,excavator,
IGproject0261,Andrena,chrysosceles,female,1977,6,22,England,Hampshire,Odiham,,2.832,1.705,7.739,2.16,Andrenidae,excavator,
IGproject0262,Andrena,chrysosceles,male,1929,5,3,England,Greater London,Wimbledon,,2.513,1.41,6.672,1.729,Andrenidae,excavator,
IGproject0263,Andrena,chrysosceles,female,1929,6,12,England,Oxfordshire,Oxford,Waterperry Wood,2.649,1.603,7.3,2.058,Andrenidae,excavator,
IGproject0264,Andrena,chrysosceles,male,1968,6,12,England,Oxfordshire,Oxford,Waterperry Wood,2.337,1.31,6.071,1.632,Andrenidae,excavator,
IGproject0265,Andrena,chrysosceles,female,1978,5,7,England,Oxfordshire,Oxford,Hinksey,2.931,1.817,7.893,2.268,Andrenidae,excavator,
IGproject0266,Andrena,chrysosceles,male,1980,5,1,England,Buckinghamshire,Gerrards Cross,,2.913,1.706,7.457,1.987,Andrenidae,excavator,
IGproject0267,Andrena,chrysosceles,male,1917,4,22,England,Devon,Newton Abbot,,2.503,1.454,6.777,1.746,Andrenidae,excavator,
IGproject0268,Andrena,chrysosceles,male,1983,5,17,England,Buckinghamshire,Hedgerley,,2.478,1.373,6.362,1.728,Andrenidae,excavator,
IGproject0269,Andrena,chrysosceles,female,1984,5,9,England,Greater London,London,Devonshire Road,2.774,1.836,7.639,2.123,Andrenidae,excavator,
IGproject0270,Andrena,chrysosceles,female,1990,5,29,England,Wiltshire,Swindon,Coate Water Country Park,3.044,1.945,8.306,2.321,Andrenidae,excavator,
IGproject0271,Andrena,chrysosceles,female,1907,6,22,England,Hampshire,,New Forest,3.088,2.007,8.587,2.301,Andrenidae,excavator,
IGproject0272,Andrena,chrysosceles,female,1904,5,22,England,Hampshire,,New Forest,2.768,1.659,7.557,2.135,Andrenidae,excavator,
IGproject0273,Andrena,chrysosceles,male,1906,5,19,Wales,Bridgend,Porthcawl,,2.556,1.436,6.687,1.776,Andrenidae,excavator,
IGproject0274,Andrena,chrysosceles,male,1935,5,3,England,Cambridgeshire,Hardwick,Hardwick Wood,2.782,1.636,7.377,1.953,Andrenidae,excavator,
IGproject0275,Andrena,chrysosceles,male,1996,4,27,England,Northamptonshire,Marston St Lawrence,,2.534,1.397,6.95,1.814,Andrenidae,excavator,
IGproject0276,Andrena,chrysosceles,male,1996,4,27,England,Northamptonshire,Marston St Lawrence,,2.467,1.33,6.535,1.719,Andrenidae,excavator,
IGproject0277,Andrena,chrysosceles,female,1984,5,9,England,Greater London,London,Devonshire Road,3.013,1.882,8.09,2.27,Andrenidae,excavator,
IGproject0278,Andrena,chrysosceles,male,1996,4,27,England,Northamptonshire,Brackley,,2.681,1.46,7.05,1.948,Andrenidae,excavator,
IGproject0279,Andrena,chrysosceles,female,1990,5,29,England,Wiltshire,Swindon,Coate Water Country Park,3.097,1.952,8.394,2.26,Andrenidae,excavator,
IGproject0280,Andrena,chrysosceles,female,1990,5,11,England,Oxfordshire,North Leigh,North Leigh Common,2.377,1.552,7.16,1.958,Andrenidae,excavator,
IGproject0281,Hylaeus,communis,female,1950,4,2,England,Devon,Topsham,,1.701,1.333,4.966,1.054,Colletidae,cavity nester,
IGproject0282,Hylaeus,communis,male,1948,7,17,England,Dorset,Witchampton,,1.495,1.046,4.214,0.894,Colletidae,cavity nester,
IGproject0283,Hylaeus,communis,female,1952,8,22,England,Devon,Dawlish Warren,,1.538,1.116,4.121,0.933,Colletidae,cavity nester,
IGproject0284,Hylaeus,communis,female,1949,7,9,England,Devon,Exeter,,1.65,1.298,4.978,1.051,Colletidae,cavity nester,
IGproject0285,Hylaeus,communis,male,1897,7,8,England,Berkshire,Sulhamstead,,1.473,1.088,3.947,0.965,Colletidae,cavity nester,
IGproject0286,Hylaeus,communis,male,1904,7,,England,Dorset,Lyme Regis,,1.758,1.44,4.82,1.046,Colletidae,cavity nester,
IGproject0287,Hylaeus,communis,female,1914,6,18,England,Cambridgeshire,Wicken,,1.604,1.277,4.932,1.097,Colletidae,cavity nester,
IGproject0288,Hylaeus,communis,male,1903,7,23,England,Dorset,Lyme Regis,,1.423,0.99,3.996,0.809,Colletidae,cavity nester,
IGproject0289,Hylaeus,communis,male,1953,8,12,England,Devon,Bovey Tracey,Bovey Heathfield,1.489,1.108,4.254,0.924,Colletidae,cavity nester,
IGproject0290,Hylaeus,communis,male,1948,7,17,England,Dorset,Witchampton,,1.561,1.221,4.356,0.984,Colletidae,cavity nester,
IGproject0291,Hylaeus,communis,male,1976,6,26,England,Devon,Yelverton,Five Oaks,1.566,1.202,4.384,0.928,Colletidae,cavity nester,
IGproject0292,Hylaeus,communis,male,1977,8,11,England,Devon,Hawkchurch,,1.444,1.083,4.091,0.9,Colletidae,cavity nester,
IGproject0293,Hylaeus,communis,male,1982,7,5,England,Devon,Tavistock,Whitchurch Down,1.519,1.158,4.406,0.979,Colletidae,cavity nester,
IGproject0294,Hylaeus,communis,male,1963,6,22,England,Dorset,Weymouth,,1.565,1.21,4.497,0.972,Colletidae,cavity nester,
IGproject0295,Hylaeus,communis,male,1951,8,14,England,Gloucestershire,Chipping Campden,,1.413,1.057,4.079,0.886,Colletidae,cavity nester,
IGproject0296,Hylaeus,communis,female,1974,6,,England,Devon,Saunton,,1.609,1.219,4.725,1.021,Colletidae,cavity nester,
IGproject0297,Hylaeus,communis,female,1977,7,30,England,Devon,,South Devon - Buckland Down,1.649,1.263,4.679,1.03,Colletidae,cavity nester,
IGproject0298,Hylaeus,communis,male,1974,6,,England,Devon,Saunton,,1.551,1.116,4.397,0.956,Colletidae,cavity nester,
IGproject0299,Hylaeus,communis,female,1906,7,21,England,Kent,Faversham,,1.584,1.263,4.714,0.948,Colletidae,cavity nester,
IGproject0300,Hylaeus,communis,female,1954,8,3,England,Dorset,Warmwell,Warmwell Heath,1.708,1.315,5.013,1.076,Colletidae,cavity nester,
IGproject0301,Hylaeus,communis,female,1902,8,18,England,Kent,Faversham,Huntingfield,1.544,1.202,4.572,0.97,Colletidae,cavity nester,
IGproject0302,Hylaeus,communis,female,1953,8,12,England,Devon,Bovey Tracey,Bovey Heathfield,1.76,1.368,5.11,1.104,Colletidae,cavity nester,
IGproject0303,Hylaeus,communis,male,1909,7,12,England,Hampshire,,New Forest,1.475,0.998,3.977,0.909,Colletidae,cavity nester,
IGproject0304,Hylaeus,communis,female,1974,7,9,England,Devon,Saunton,,1.482,1.124,4.484,0.923,Colletidae,cavity nester,
IGproject0305,Hylaeus,communis,male,1902,8,18,England,Kent,Faversham,Huntingfield,1.506,1.069,4.219,0.878,Colletidae,cavity nester,
IGproject0306,Hylaeus,communis,female,1978,7,16,England,Cornwall,North Petherwin,,1.676,1.301,4.879,1.021,Colletidae,cavity nester,
IGproject0307,Hylaeus,communis,male,1986,7,15,England,Kent,Higham,,1.437,1.11,4.096,0.903,Colletidae,cavity nester,
IGproject0308,Hylaeus,communis,female,1909,7,15,England,Hampshire,,New Forest,1.528,1.188,4.634,0.97,Colletidae,cavity nester,
IGproject0309,Hylaeus,communis,female,1909,7,13,England,Hampshire,,New Forest,1.681,1.33,5.002,1.047,Colletidae,cavity nester,
IGproject0310,Hylaeus,communis,female,1903,7,23,England,Dorset,Lyme Regis,,1.626,1.29,4.753,1.011,Colletidae,cavity nester,
